0.3474115,0.1979488,20­ÓÅÜ¼Æ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train.error,test.error,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50
0.427444889,0.194761011,414,665,341,874,559,834,709,540,784,63,830,526,301,797,320,500,658,242,358,734,234,483,380,411,27,546,474,732,36,365,305,290,32,802,33,857,638,10,838,335,639,51,302,18,891,300,884,211,386,94
0.427250647,0.186791244,362,400,789,258,341,827,592,420,887,731,318,587,378,736,814,791,637,842,55,314,795,728,332,898,613,616,42,850,610,418,229,235,675,303,671,406,431,740,787,87,747,339,379,558,522,498,885,284,389,554
0.425522345,0.151296687,894,776,687,643,400,855,700,883,281,686,681,547,604,577,380,569,741,83,286,408,334,844,753,206,201,426,719,80,386,485,765,523,335,322,309,359,790,609,735,696,259,58,258,689,792,538,713,9,388,728
0.424549728,0.169842689,305,33,833,240,678,843,685,290,641,855,616,679,299,590,348,659,468,649,433,831,480,615,576,568,289,37,896,341,774,732,44,284,634,239,319,436,264,886,361,826,527,46,446,708,655,849,263,606,800,246
0.418892284,0.148501391,35,540,25,81,772,573,606,337,90,404,839,326,850,509,733,307,590,596,673,508,824,656,284,229,744,450,217,40,339,872,537,862,354,517,7,867,672,587,757,365,580,855,800,796,579,221,630,313,391,317
0.418068113,0.168973225,686,723,257,755,400,886,271,678,845,416,709,337,36,628,542,830,743,290,797,842,541,37,516,865,774,216,590,832,899,357,352,617,731,48,471,34,84,56,796,287,775,856,849,586,703,444,817,58,530,616
0.418068113,0.206270633,798,313,291,278,725,755,341,531,321,381,576,698,307,516,505,511,3,850,423,705,491,733,10,730,763,749,267,4,339,549,884,839,226,523,864,64,36,699,245,765,20,406,405,275,340,23,68,665,399,385
0.417869008,0.184846226,768,696,687,83,38,319,33,872,203,822,844,861,229,290,856,620,220,868,447,740,757,864,281,339,212,3,450,92,471,213,536,267,537,702,301,345,315,715,328,851,610,251,81,745,440,773,831,865,495,419
0.417311413,0.215016272,8,201,681,754,557,371,255,55,706,298,838,589,317,287,811,839,772,850,782,431,268,433,500,401,600,314,266,819,210,339,718,368,79,63,20,884,560,554,360,493,524,36,898,424,395,46,510,780,813,313
0.417311413,0.166362852,482,514,5,358,658,240,874,332,386,779,340,820,848,743,287,816,441,397,250,377,31,672,622,59,594,339,637,501,268,28,664,839,688,409,202,744,885,656,219,455,873,326,261,850,826,754,25,605,474,402
0.415894709,0.213171882,835,654,401,610,429,301,78,546,431,487,374,270,779,476,652,618,404,479,214,278,82,365,45,39,694,839,332,28,390,885,236,714,339,806,650,764,702,855,860,442,719,572,602,463,420,287,89,317,231,583
0.414147041,0.153964824,559,761,846,261,336,68,716,727,704,231,632,895,318,836,33,811,832,658,734,411,63,95,64,290,385,854,58,243,809,14,23,383,795,494,831,869,758,359,730,41,345,86,257,88,228,349,507,576,522,306
0.413521844,0.185377443,308,691,487,865,295,543,417,389,822,859,678,873,857,276,380,303,472,12,679,848,736,751,357,279,757,876,71,57,290,573,874,292,410,42,30,372,784,233,401,854,60,792,767,256,90,650,19,584,275,755
0.412335308,0.173908718,613,439,705,500,339,632,520,610,513,383,99,679,780,644,474,570,595,33,784,241,320,466,277,729,735,207,772,805,362,603,880,706,849,9,22,16,640,600,379,850,663,868,420,503,762,301,799,25,14,382
0.412058479,0.155573236,582,257,871,619,393,886,747,302,644,757,83,610,502,656,778,761,451,855,212,707,727,718,379,45,539,611,889,216,816,468,484,298,478,90,493,603,93,494,331,679,795,448,798,297,361,425,350,667,734,9
0.411188288,0.10620535,331,243,351,9,494,887,862,281,319,59,653,224,323,475,855,264,35,827,466,512,565,786,389,267,754,477,765,623,208,548,849,530,691,831,409,338,541,877,766,815,758,722,687,388,709,642,615,86,385,332
0.411052445,0.086420946,301,214,303,704,367,667,350,759,840,58,289,663,29,813,882,804,719,475,836,600,68,717,608,415,852,890,894,372,55,521,300,849,479,801,800,296,491,781,371,338,17,61,866,89,16,204,78,750,568,517
0.410084642,0.15633516,225,873,474,719,425,529,265,249,718,255,444,2,758,753,852,844,571,306,603,511,787,574,676,724,800,72,545,898,829,270,469,35,714,383,532,290,661,637,863,710,672,581,289,518,279,296,818,745,308,517
0.410084642,0.155573236,887,734,585,97,300,515,864,832,457,63,60,668,52,403,444,73,290,82,370,594,315,47,319,744,404,359,13,367,836,209,815,297,545,549,806,712,736,708,232,778,599,24,786,476,240,754,855,752,277,555
0.409648271,0.132669914,341,891,29,838,84,568,339,758,246,669,545,305,462,593,877,423,675,658,353,771,722,716,857,516,676,465,831,222,467,670,63,851,458,618,382,598,351,705,380,14,612,855,563,787,842,573,446,492,46,223
0.409028653,0.150887025,648,668,52,836,824,603,819,883,283,593,358,793,332,809,710,82,685,511,714,659,267,234,276,251,644,377,708,294,805,286,766,747,880,95,543,771,884,458,709,607,97,795,389,568,371,420,695,857,818,651
0.409028653,0.162505064,584,62,204,585,393,792,96,625,788,833,861,609,404,429,416,42,766,68,853,555,410,345,298,308,855,598,381,428,413,390,772,652,467,656,629,726,884,492,778,339,618,296,84,225,530,722,358,88,721,571
0.408438282,0.148369933,23,71,479,805,73,702,28,789,548,849,655,621,586,743,500,354,397,624,856,459,301,277,828,254,505,451,275,293,25,50,762,444,800,782,355,752,526,407,595,394,423,429,304,5,320,648,676,290,46,531
0.407513964,0.151496138,212,293,795,355,885,897,318,620,890,422,853,246,67,506,529,804,290,224,457,390,349,826,231,564,486,723,312,870,258,389,574,747,627,7,263,74,573,879,777,528,421,724,82,789,743,568,578,688,277,271
